Afstemningsområde	Opstillingskreds	Storkreds	Landsdel	Filnavn	Stemmeberettigede	IAltGyldigeStemmer	BlankeStemmer	AndreUgyldigeStemmer	IAltAfgivneStemmer	A	B	C	F	I	K	O	V	Ø	Å	UdenForParti
"Dronninglund"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495882.xml"	3822	3187	50	12	3249	882	117	86	130	162	41	692	824	166	86	1
"Flauenskjold"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495883.xml"	1009	855	9	1	865	224	24	20	25	32	9	239	207	51	24	0
"Hjallerup"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495884.xml"	3184	2783	30	2	2815	832	64	55	83	157	16	563	817	141	55	0
"Klokkerholm"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495885.xml"	1481	1252	16	3	1271	321	35	25	41	64	9	298	341	77	40	1
"Brønderslev"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495886.xml"	9463	7928	73	13	8014	2642	187	213	374	398	87	1728	1736	430	129	4
"Stenum"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495887.xml"	488	432	3	1	436	125	1	19	14	24	10	101	97	31	10	0
"Thise"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495888.xml"	913	787	13	2	802	207	17	15	25	48	13	205	207	35	15	0
"Ø. Brønderslev"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495889.xml"	1181	1024	7	2	1033	314	33	38	43	67	10	199	252	52	16	0
"Hallund"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495890.xml"	510	436	5	1	442	111	5	23	9	18	6	99	124	31	10	0
"Jerslev"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495891.xml"	1882	1574	7	3	1584	334	33	133	52	71	11	423	378	101	38	0
"Serritslev"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495892.xml"	664	585	4	1	590	161	11	18	29	25	8	135	151	36	11	0
"Skagen"	"1. Frederikshavn"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495836.xml"	6452	5205	37	12	5254	1751	76	110	110	219	26	1451	1063	295	101	3
"Hulsig"	"1. Frederikshavn"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495837.xml"	119	107	0	0	107	29	1	7	2	0	0	32	28	6	2	0
"Ålbæk"	"1. Frederikshavn"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495838.xml"	1458	1246	7	5	1258	362	21	31	18	33	8	378	299	78	18	0
"Jerup"	"1. Frederikshavn"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495839.xml"	740	626	1	1	628	189	8	12	14	24	0	207	123	32	17	0
"Elling"	"1. Frederikshavn"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495840.xml"	1283	1103	4	2	1109	350	17	17	19	37	7	359	234	56	7	0
"Strandby"	"1. Frederikshavn"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495841.xml"	1932	1664	9	3	1676	400	40	52	45	69	112	509	369	47	20	1
"Frederikshavn Nord"	"1. Frederikshavn"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495842.xml"	4833	4031	30	14	4075	1576	91	61	102	170	13	1120	631	206	61	0
"Frederikshavn Midt"	"1. Frederikshavn"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495843.xml"	8000	6262	32	29	6323	2133	126	103	233	314	23	1712	1068	414	135	1
"Frederikshavn Syd"	"1. Frederikshavn"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495844.xml"	5525	4656	40	11	4707	1648	108	97	128	215	30	1129	992	243	66	0
"Ravnshøj"	"1. Frederikshavn"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495845.xml"	1495	1278	8	5	1291	344	30	28	37	49	14	332	349	75	20	0
"Gærum"	"1. Frederikshavn"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495846.xml"	1436	1292	8	4	1304	312	30	17	20	101	14	300	431	43	24	0
"Sæby"	"1. Frederikshavn"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495847.xml"	7163	6130	46	13	6189	1966	131	148	167	262	42	1437	1565	291	120	1
"Brønden"	"1. Frederikshavn"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495848.xml"	352	315	2	2	319	61	8	12	23	16	4	71	85	28	7	0
"Dybvad"	"1. Frederikshavn"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495849.xml"	894	743	4	3	750	206	11	11	20	32	5	203	209	31	15	0
"Hørby"	"1. Frederikshavn"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495850.xml"	674	567	5	1	573	163	17	8	22	27	10	131	132	44	13	0
"Præstbro"	"1. Frederikshavn"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495851.xml"	366	314	3	0	317	76	6	11	5	15	3	74	89	19	15	1
"Thorshøj"	"1. Frederikshavn"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495852.xml"	610	490	4	1	495	140	5	14	17	28	9	140	102	21	14	0
"Understed"	"1. Frederikshavn"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495853.xml"	434	382	4	1	387	92	7	9	12	32	0	111	98	16	5	0
"Voerså"	"1. Frederikshavn"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495854.xml"	623	511	0	0	511	107	9	6	14	8	2	188	135	32	10	0
"Volstrup"	"1. Frederikshavn"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495855.xml"	545	430	4	2	436	131	6	15	5	14	5	113	117	22	2	0
"Østervrå"	"1. Frederikshavn"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495856.xml"	1409	1183	4	0	1187	318	22	31	18	57	15	296	366	49	11	0
"Lyngså"	"1. Frederikshavn"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495857.xml"	454	403	3	2	408	106	6	6	10	24	1	116	105	18	11	0
"Aalestrup"	"5. Himmerland"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495957.xml"	3032	2451	18	8	2477	509	41	84	59	116	21	685	818	86	30	2
"Farsø"	"5. Himmerland"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495958.xml"	3580	2986	26	6	3018	709	52	128	65	137	50	893	822	92	38	0
"Strandby"	"5. Himmerland"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495959.xml"	622	533	5	0	538	95	16	18	17	31	7	172	134	21	21	1
"Aars"	"5. Himmerland"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495960.xml"	6840	5755	44	12	5811	1458	146	393	142	319	35	1529	1431	218	83	1
"Hvalpsund"	"5. Himmerland"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495961.xml"	1291	1046	13	2	1061	276	21	34	24	53	8	256	276	62	36	0
"Gislum-Vognsild"	"5. Himmerland"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495962.xml"	870	714	5	2	721	137	12	30	15	52	3	221	209	25	10	0
"Gedsted"	"5. Himmerland"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495963.xml"	1427	1149	11	2	1162	285	25	38	46	51	12	334	297	45	16	0
"Hornum-Ulstrup"	"5. Himmerland"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495964.xml"	1347	1079	9	4	1092	241	18	66	25	54	5	336	283	33	18	0
"Vester Hornum"	"5. Himmerland"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495965.xml"	828	700	1	3	704	144	16	26	24	38	8	222	183	28	11	0
"Løgstør"	"5. Himmerland"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495966.xml"	3958	3234	17	11	3262	1026	51	67	122	130	15	764	863	137	59	0
"Ranum"	"5. Himmerland"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495967.xml"	1413	1137	11	2	1150	286	33	16	62	41	4	286	267	96	46	0
"Salling"	"5. Himmerland"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495968.xml"	1051	858	7	5	870	185	11	15	29	59	2	254	251	34	17	1
"Overlade"	"5. Himmerland"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495969.xml"	761	632	3	1	636	140	13	15	23	29	7	175	191	27	12	0
"Skivum-Giver"	"5. Himmerland"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495970.xml"	683	592	7	0	599	147	18	20	14	39	2	160	144	32	16	0
"Læsø"	"1. Frederikshavn"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495858.xml"	1490	1247	6	4	1257	350	25	17	27	42	19	368	297	67	35	0
"Støvring"	"5. Himmerland"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495971.xml"	6052	5360	35	14	5409	1442	232	132	121	370	23	1201	1539	201	96	3
"Skørping"	"5. Himmerland"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495972.xml"	3139	2831	21	8	2860	878	201	65	153	204	9	368	549	236	166	2
"Terndrup"	"5. Himmerland"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495973.xml"	1756	1520	17	2	1539	535	18	37	41	80	9	390	312	68	30	0
"Suldrup"	"5. Himmerland"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495974.xml"	2032	1733	14	3	1750	428	48	52	53	82	9	469	481	74	36	1
"Nørager"	"5. Himmerland"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495975.xml"	2205	1867	16	6	1889	442	59	62	35	149	24	490	500	62	42	2
"Haverslev"	"5. Himmerland"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495976.xml"	982	823	11	1	835	186	28	29	11	52	4	246	226	27	14	0
"Øster Hornum"	"5. Himmerland"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495977.xml"	1409	1255	5	4	1264	310	64	42	57	105	18	219	358	49	33	0
"Bælum"	"5. Himmerland"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495978.xml"	1228	1037	5	1	1043	380	25	23	17	75	3	237	194	56	26	1
"Ravnkilde"	"5. Himmerland"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495979.xml"	696	593	10	1	604	127	15	15	12	57	3	181	132	36	15	0
"Blenstrup"	"5. Himmerland"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495980.xml"	1169	1014	11	1	1026	353	16	13	16	53	14	220	225	66	38	0
"Veggerby"	"5. Himmerland"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495981.xml"	522	452	1	0	453	91	24	7	15	20	8	101	145	22	19	0
"Assens"	"6. Mariagerfjord"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495982.xml"	1838	1544	11	2	1557	512	34	29	84	60	12	452	224	94	42	1
"Mariager"	"6. Mariagerfjord"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495983.xml"	3146	2621	27	3	2651	623	91	116	119	159	67	606	619	130	88	3
"Arden"	"6. Mariagerfjord"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495984.xml"	2876	2404	15	3	2422	837	67	54	72	123	11	485	526	140	88	1
"Valsgaard"	"6. Mariagerfjord"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495985.xml"	1646	1397	12	2	1411	344	38	27	32	78	11	354	409	65	38	1
"Vebbestrup"	"6. Mariagerfjord"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495986.xml"	1789	1473	20	2	1495	339	33	12	34	87	8	453	407	63	37	0
"Hadsund"	"6. Mariagerfjord"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495987.xml"	5252	4369	41	10	4420	1472	91	75	113	199	9	1066	1032	204	105	3
"Veddum-Skelund"	"6. Mariagerfjord"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495988.xml"	875	729	10	1	740	242	14	14	20	69	2	157	147	48	16	0
"Als"	"6. Mariagerfjord"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495989.xml"	1961	1631	15	0	1646	502	21	27	35	87	5	425	434	70	24	1
"Hørby"	"6. Mariagerfjord"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495990.xml"	2630	2288	22	2	2312	585	71	54	59	159	19	568	613	102	57	1
"Onsild"	"6. Mariagerfjord"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495991.xml"	1717	1446	13	4	1463	318	43	35	42	105	13	440	334	76	38	2
"Hobro"	"6. Mariagerfjord"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495992.xml"	7979	6506	58	13	6577	1983	258	146	195	378	38	1473	1415	435	181	4
"Aabybro"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495893.xml"	4465	3935	18	4	3957	1172	99	96	119	249	39	738	1200	150	73	0
"Biersted"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495894.xml"	1455	1261	10	3	1274	419	18	25	32	53	8	336	280	66	24	0
"Nørhalne"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495895.xml"	1120	1011	4	1	1016	355	31	20	23	69	2	238	226	31	16	0
"Vedsted"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495896.xml"	1012	883	8	2	893	316	13	26	16	34	6	175	238	39	20	0
"Gjøl"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495897.xml"	935	839	4	2	845	239	29	18	19	70	4	135	258	36	31	0
"Ingstrup"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495898.xml"	517	437	4	0	441	105	11	9	18	30	7	123	92	27	15	0
"V. Hjermitslev"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495899.xml"	477	403	4	0	407	107	6	4	11	29	3	126	85	16	16	0
"Brovst"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495900.xml"	2293	1888	13	4	1905	577	40	40	37	61	28	484	505	82	33	1
"Halvrimmen"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495901.xml"	1091	925	1	2	928	278	16	13	18	59	2	221	242	49	26	1
"Arentsminde"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495902.xml"	526	441	5	1	447	114	7	8	9	19	0	136	125	15	8	0
"Tranum"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495903.xml"	861	718	5	3	726	184	21	14	25	31	2	193	176	38	34	0
"Skovsgård"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495904.xml"	1257	1049	12	3	1064	289	11	12	30	37	9	306	281	48	25	1
"Fjerritslev"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495905.xml"	3278	2673	21	4	2698	875	46	41	67	104	32	678	687	82	61	0
"Thorup"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495906.xml"	1037	826	3	1	830	206	11	24	24	46	1	248	203	33	30	0
"Ørebro"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495907.xml"	784	651	7	1	659	184	14	14	12	40	5	176	162	28	15	1
"Trekroner"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495908.xml"	964	803	11	1	815	200	17	18	22	39	8	224	217	28	30	0
"Pandrup"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495909.xml"	2488	2092	15	5	2112	749	44	24	50	97	16	505	477	96	34	0
"Kaas"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495910.xml"	2248	1819	12	1	1832	738	20	14	49	70	11	566	228	106	17	0
"Hune"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495911.xml"	1327	1197	6	1	1204	308	17	36	36	64	7	310	340	52	27	0
"Saltum"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495912.xml"	991	865	6	0	871	244	23	18	26	39	5	222	218	37	32	1
"Gl. Lindholm Skole, Kulturhus"	"9. Aalborg Nord"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1496015.xml"	9381	7534	72	35	7641	2607	285	143	298	474	40	1468	1211	699	305	4
"Løvvanghallen"	"9. Aalborg Nord"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1496016.xml"	7928	6238	63	16	6317	2272	193	102	241	332	54	1414	947	523	159	1
"Vadumhallen"	"9. Aalborg Nord"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1496017.xml"	2188	1936	11	5	1952	659	33	55	47	84	36	413	497	77	35	0
"Sulsted Skolehal"	"9. Aalborg Nord"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1496018.xml"	5133	4410	32	5	4447	1319	124	102	127	250	81	866	1204	236	101	0
"Vodskov Kultur &amp; Idrætscenter"	"9. Aalborg Nord"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1496019.xml"	5361	4558	38	5	4601	1428	151	89	171	246	28	895	1147	269	134	0
"Vesterkærets Skole"	"8. Aalborg Vest"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1496005.xml"	3997	3196	42	7	3245	1025	137	54	174	280	16	494	440	420	155	1
"Haraldslund"	"8. Aalborg Vest"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1496006.xml"	6392	5124	64	22	5210	1184	343	113	228	750	20	650	908	586	338	4
"Aalborghallen"	"9. Aalborg Nord"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1496020.xml"	10596	8433	118	20	8571	1853	667	241	358	1275	71	868	1622	922	553	3
"Kærbyskolen"	"8. Aalborg Vest"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1496007.xml"	6319	5333	50	19	5402	1767	267	118	269	397	50	799	966	467	229	4
"Hallen Ved Skalborggård"	"8. Aalborg Vest"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1496008.xml"	3992	3346	20	10	3376	1116	91	69	129	183	29	610	775	250	93	1
"Kfum - Hallen"	"8. Aalborg Vest"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1496009.xml"	9438	8389	63	28	8480	2205	442	356	302	760	46	1025	2460	474	316	3
"Frejlev Skoles Idrætshal"	"8. Aalborg Vest"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1496010.xml"	3838	3389	28	12	3429	882	113	83	106	280	17	654	959	175	119	1
"Svenstruphallen"	"8. Aalborg Vest"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1496011.xml"	5269	4488	40	17	4545	1393	141	146	150	267	28	897	1058	274	134	0
"Sønderbroskolen"	"7. Aalborg Øst"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495993.xml"	8876	7096	112	31	7239	1873	484	152	311	856	64	1069	1168	721	397	1
"Gigantium"	"7. Aalborg Øst"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495994.xml"	9282	7334	116	53	7503	2360	355	147	382	613	103	1187	1074	772	340	1
"Vejgaardhallen"	"7. Aalborg Øst"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495995.xml"	5231	4276	51	17	4344	1316	265	69	222	395	66	704	625	412	201	1
"Vejgaard Østre Skole"	"7. Aalborg Øst"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495996.xml"	6119	5121	44	20	5185	1843	231	93	238	311	70	845	761	507	220	2
"Mellervangskolens Idrætshal"	"7. Aalborg Øst"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495997.xml"	3067	2613	20	7	2640	941	88	47	113	116	53	521	382	260	91	1
"Klaruphallen"	"7. Aalborg Øst"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495998.xml"	3465	3129	28	8	3165	1038	90	88	92	199	22	588	777	163	71	1
"Gughallen"	"7. Aalborg Øst"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495999.xml"	6388	5708	49	14	5771	1769	251	135	208	402	66	1027	1374	318	158	0
"Gistrup Skoles Idrætshal"	"7. Aalborg Øst"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1496000.xml"	4376	3869	23	4	3896	1202	189	87	166	238	38	610	903	271	165	0
"Ferslev Skolehal"	"8. Aalborg Vest"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1496012.xml"	2526	2222	25	3	2250	718	62	38	55	131	7	577	493	96	45	0
"Tornhøjskolen, Hallen"	"7. Aalborg Øst"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1496001.xml"	5333	3994	49	14	4057	1407	183	58	214	211	56	733	442	513	175	2
